t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-112,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4,t+5,t+6
11197,11990,12641,13319,13861,14219,14631,14716,14550,14257,14220,14133,13452,12523,11705,11136,10782,10660,10790,11243,11847,12408,12836,13402,,,,,,
13270,13725,14662,15840,16936,17936,18287,18023,17857,17713,17209,16694,16341,15811,14627,13408,12371,11674,11241,10935,10979,11426,12215,13405,,,,,,
10884,11578,11596,11665,11653,11659,11559,11554,11494,11504,11644,11912,11964,11791,11447,10929,10166,9519,9062,8704,8492,8485,8655,9298,,,,,,
7591,7467,7443,7513,7512,7748,8266,8853,9378,9877,10186,10509,10906,11197,11404,11392,11061,10971,10932,10540,9925,9306,8786,8370,,,,,,
16962,17277,17429,17484,17395,17043,16193,15082,14322,13733,12663,11617,10857,10322,9983,9771,9904,10372,11133,12129,12950,13642,14222,14643,,,,,,
10519,10931,11239,11515,11605,11713,11813,11750,11628,11500,11291,10963,11031,11165,10741,9964,9248,8705,8386,8178,8135,8323,8883,9651,,,,,,
10644,9993,9588,9325,9207,9190,9483,10234,11268,11741,11974,12008,12071,11980,11919,11936,11896,11976,12439,12634,12389,12133,11808,11360,,,,,,
13721,13185,12359,11291,10413,9721,9284,9018,8885,9043,9729,10827,11505,12304,13167,14141,15128,16112,17084,17800,18347,18585,18356,17711,,,,,,
15090,14375,13895,12760,11519,10625,9953,9503,9224,9108,9016,9328,9999,10749,11433,11973,12357,12567,12730,12908,13149,13256,13179,12901,,,,,,
17649,17604,17259,16790,16448,15973,14761,13511,12507,11708,11056,10726,10777,11168,12099,13403,14618,15613,16660,17533,18175,18650,18840,18836,,,,,,
11848,10983,10081,9453,9028,8797,8686,8828,9427,10310,11081,11770,12352,12813,13013,12996,13033,12921,12659,12522,12608,12371,12377,12372,,,,,,
7837,7688,7692,7820,7919,8115,8680,9115,9406,9559,9674,9708,9639,9712,9753,9713,9639,9887,9862,9581,9149,8573,8179,7796,,,,,,
11338,11359,11255,11258,11167,11076,11100,11069,11067,11661,12097,11943,11757,11497,10962,10247,9554,9113,8804,8641,8621,8843,9542,10617,,,,,,
13592,12796,11910,11101,10557,10151,9959,9808,9705,9701,10189,11027,11706,12251,12488,12598,12687,12738,12765,12838,12731,12344,11906,11840,,,,,,
11239,11515,11605,11713,11813,11750,11628,11500,11291,10963,11031,11165,10741,9964,9248,8705,8386,8178,8135,8323,8883,9651,10223,10511,,,,,,
9314,8868,8509,8213,8031,7952,7944,7838,7993,8499,8904,9197,9428,9608,9898,10290,10484,10474,10500,10550,10860,11007,10673,10147,,,,,,
9799,9222,8923,8695,8642,8699,8822,9306,10073,10543,10973,11151,11279,11334,11492,11671,11816,11794,11540,11096,11101,10821,10151,9528,,,,,,
10061,9971,10138,10272,9996,9411,8802,8387,8035,7941,7908,7977,8259,8503,8889,9288,9527,9638,9783,9804,9769,9769,9792,9924,,,,,,
10263,11025,12125,12571,12700,12831,12901,12734,12504,12404,12315,12328,13078,13645,13534,13382,13157,12678,11910,11183,10721,10445,10318,10338,,,,,,
12789,13390,13722,14046,14313,14265,13844,13315,12921,12442,12059,11870,11668,10853,9942,9331,8912,8675,8557,8661,9043,9997,10953,11708,,,,,,
11302,11677,11985,12277,12657,12790,12780,12651,12477,12471,12660,12391,11699,10804,9966,9374,8985,8761,8676,8844,9553,10738,11287,11767,,,,,,
11153,11132,10970,10975,11005,11215,11154,10879,10273,9593,8921,8428,8128,7958,7916,8080,8710,9768,10412,10671,10834,10976,10993,10961,,,,,,
12721,13676,14766,15791,16620,17047,17249,17891,18189,18002,17805,17469,16894,16490,16008,14844,13586,12627,11966,11525,11315,11343,11475,11899,,,,,,
9798,9188,8776,8524,8419,8583,8917,9851,10822,11554,12049,12470,12819,13126,13550,13884,13775,13706,13625,13276,13005,12938,12768,11953,,,,,,
8819,8991,9319,10149,11229,11705,11723,11745,11768,11747,11776,11822,11758,11764,12159,12516,12307,12103,11835,11331,10647,10043,9701,9459,,,,,,
13510,12952,12158,11335,10825,10522,10385,10371,10634,11335,12414,13003,13033,13017,12981,12851,12725,12639,12634,12819,13490,13803,13684,13529,,,,,,
16501,16662,16676,16422,15742,15161,15050,14344,13169,12036,11176,10524,10060,9834,9864,10401,11120,12021,12710,13190,13587,14063,14650,15240,,,,,,
9452,10422,11132,11726,12219,12626,12898,13227,13490,13690,13843,13784,13433,12911,12486,12177,11316,10333,9566,9018,8610,8382,8321,8238,,,,,,
9229,9220,9502,10205,11264,11732,11784,11745,11659,11506,11354,11333,11230,11294,12044,12606,12489,12350,12140,11698,10984,10256,9757,9468,,,,,,
10524,10060,9834,9864,10401,11120,12021,12710,13190,13587,14063,14650,15240,15708,16105,16229,15941,15232,14489,14307,13670,12724,11690,10835,,,,,,
8814,9592,10478,11352,11898,11937,11678,11540,11455,11322,11026,11163,10979,10341,9592,8889,8376,8065,7853,7725,7889,8534,9417,10076,,,,,,
11426,12215,13405,14596,15581,16459,17122,17679,18309,18626,18506,17952,17237,16656,16227,15986,15187,14179,13141,12146,11437,11009,10693,10612,,,,,,
8122,7938,7862,8007,8598,9607,10207,10648,10972,11263,11379,11382,11423,11345,11211,10987,10707,10491,10659,10643,10231,9637,8909,8494,,,,,,
16422,15742,15161,15050,14344,13169,12036,11176,10524,10060,9834,9864,10401,11120,12021,12710,13190,13587,14063,14650,15240,15708,16105,16229,,,,,,
10847,11108,10965,10638,10148,9532,8943,8540,8299,8090,8087,8287,8944,10093,10907,11139,11265,11401,11426,11376,11406,11277,11184,11221,,,,,,
9272,8682,8241,7946,7739,7699,7921,8322,9137,10080,10694,11101,11424,11614,11717,11833,11842,11800,11711,11471,11024,10749,10712,10613,,,,,,
9888,9732,9708,9897,10629,11726,12152,12150,12146,12186,12131,12023,12006,11901,11980,12722,13306,13194,13021,12786,12265,11471,10738,10229,,,,,,
11681,11867,11930,11977,11897,11787,11821,11834,11828,12186,12199,11973,11714,11432,10925,10310,9645,9171,8829,8635,8553,8639,8990,9534,,,,,,
11933,12247,12646,12795,12865,12788,12475,12435,12330,11714,11071,10257,9516,8907,8563,8357,8296,8400,9036,10090,10632,10958,11185,11355,,,,,,
7725,7889,8534,9417,10076,10546,10888,11298,11536,11650,11801,11763,11625,11367,11007,10711,10905,10838,10301,9557,8866,8381,8091,7888,,,,,,
9108,9400,10117,11067,12045,12835,13351,13771,13933,14019,14034,14108,13955,13530,12817,12235,11967,11228,10487,9710,9153,8712,8472,8301,,,,,,
9788,9142,8714,8497,8301,8162,8350,8960,9987,10596,10857,11002,11105,11116,11128,11153,11132,10970,10975,11005,11215,11154,10879,10273,,,,,,
12492,13560,14553,15527,16112,16902,17489,17846,17997,17899,17440,16602,15905,15581,14886,13733,12560,11671,11010,10567,10298,10387,10881,11680,,,,,,
12731,12244,11935,11890,11778,11055,10296,9631,9136,8802,8634,8565,8611,8850,9505,10291,11009,11647,12090,12504,12833,13208,13624,13767,,,,,,
8738,9045,9070,9156,9278,9318,9329,9269,9154,9089,9229,9900,10605,10596,10458,10265,9891,9378,8900,8666,8535,8470,8574,8922,,,,,,
10895,10828,10828,10651,10750,10971,10578,9908,9281,8843,8632,8497,8488,8761,9456,10241,10758,10902,10903,10900,10886,10795,10777,10593,,,,,,
