t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4
248.055,257.029,105.16,93.6145,120.466,0,0,0,0,0,0,0,0,0,0,0
257.029,105.16,93.6145,120.466,0,0,0,0,0,0,0,0,0,0,0,0
105.16,93.6145,120.466,0,0,0,0,0,0,0,0,0,0,0,0,0
93.6145,120.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120.466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.007
0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.007,246.605
0,0,0,0,0,0,0,0,0,0,0,0,0,183.007,246.605,210.2545
0,0,0,0,0,0,0,0,0,0,0,0,183.007,246.605,210.2545,167.8815
0,0,0,0,0,0,0,0,0,0,0,183.007,246.605,210.2545,167.8815,313.104
0,0,0,0,0,0,0,0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5
0,0,0,0,0,0,0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333
0,0,0,0,0,0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525
0,0,0,0,0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667
0,0,0,0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382
0,0,0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275
0,0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667
0,0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255
0,0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333
0,183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025
183.007,246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555
246.605,210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926
210.2545,167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95
167.8815,313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895
313.104,313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887
313.5,344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88
344.6393333,355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095
355.75525,363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955
363.8836667,279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358
279.382,418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705
418.15275,361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155
361.8356667,545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333
545.3255,439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334
439.3743333,490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715
490.6025,400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251
400.0555,436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338
436.926,348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665
348.95,282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385
282.7895,261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476
261.887,267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426
267.88,258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685
258.8095,231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385
231.4955,333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277
333.358,294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007
294.1705,318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005
318.3155,277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795
277.2593333,291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955
291.334,252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274
252.8715,280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095
280.251,215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333
215.338,278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913
278.6665,268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805
268.6385,290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909
290.476,339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667
339.426,275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517
275.3685,286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705
286.385,290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125
290.277,354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035
354.007,311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333
311.8005,318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333,353.319
318.5795,323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333,353.319,364.9585
323.3955,287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333,353.319,364.9585,376.3055
287.274,325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333,353.319,364.9585,376.3055,377.5043333
325.3095,320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333,353.319,364.9585,376.3055,377.5043333,407.7745
320.1853333,362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333,353.319,364.9585,376.3055,377.5043333,407.7745,388.7745
362.913,315.2805,356.909,304.0716667,362.517,382.7705,366.2125,332.1035,300.8333333,353.319,364.9585,376.3055,377.5043333,407.7745,388.7745,394.976
