t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4
0,0,0,0,0,0,0,0,0,138.727,254.159,264.6065,,,,
405.9896667,360.44325,279.2948,351.456,420.2045,448.7875,402.9235,343.2603333,335.2405,345.5605,343.26,381.459,,,,
580.875,455.8043333,463.7253333,359.1616667,318.685,334.39,390.1095,368.362,361.298,350.3565,309.224,252.844,,,,
362.3156667,404.7635,391.3775,410.2825,470.538,422.5686667,428.353,511.968,545.379,584.016,601.2965,582.7455,,,,
378.1293333,406.866,401.0965,470.0735,485.804,516.8615,497.5425,476.714,494.323,433.587,486.3735,511.9335,,,,
381.459,385.0505,354.7595,385.123,428.6145,380.4513333,398.5585,461.535,459.3675,456.935,503.72,556.6805,,,,
341.58575,364.681,298.7102,371.7775,455.1605,435.384,332.484,378.546,392.673,365.338,316.371,350.65275,,,,
65.446,0,0,0,0,0,0,0,0,0,0,0,,,,
672.788,541.5676667,587.59675,551.7746667,555.46525,405.115,331.4233333,379.5965,405.15725,263.9485,384.1305,492.8125,,,,
647.424,831.3415,1025.444,1085.282667,851.995,930.606,835.4163333,848.0316667,1004.38525,1114.367333,1128.635333,1172.69625,,,,
347.033,367.616,396.878,378.414,359.556,377.297,378.1293333,406.866,401.0965,470.0735,485.804,516.8615,,,,
591.9665,554.0086667,572.3855,626.2655,620.5735,644.8616667,647.096,643.0215,677.0585,773.8475,935.7525,1103.023333,,,,
321.83975,345.5925,372.50025,394.644,434.003,423.1615,371.1205,380.3196667,365.1405,401.938,332.4355,360.3443333,,,,
370.9013333,337.543,325.584,318.0765,334.6743333,358.176,344.2455,390.176,382.6185,378.8306667,389.716,386.513,,,,
778.1176667,775.3586667,786.069,674.759,743.818,694.4933333,629.019,786.6163333,796.0596667,800.5905,940.7243333,875.7606667,,,,
378.546,392.673,365.338,316.371,350.65275,382.8165,388.8625,429.46875,393.396,438.538,409.6915,423.1615,,,,
1271.587,1286.262667,1205.25475,1131.584667,1033.548,938.512,796.719,797.1285,778.1176667,775.3586667,786.069,674.759,,,,
463.835,356.9725,366.445,392.2775,377.889,410.3485,362.3156667,404.7635,391.3775,410.2825,470.538,422.5686667,,,,
368.5793333,259.4298333,382.357,449.642,435.0545,341.638,373.1793333,368.6245,346.1515,347.033,367.616,396.878,,,,
279.2948,351.456,420.2045,448.7875,402.9235,343.2603333,335.2405,345.5605,343.26,381.459,385.0505,354.7595,,,,
498.266,559.441,570.4795,546.9563333,535.876,583.3585,577.773,580.3686667,545.8385,598.9965,664.114,816.952,,,,
251.1365,179.9095,242.4635,289.1166667,293.8916667,344.41025,346.8773333,368.624,509.03,479.7883333,690.7256667,580.336,,,,
751.5133333,806.504,760.3115,719.6373333,752.5353333,604.354,684.287,603.727,643.81,620.2013333,686.7063333,697.4713333,,,,
266.908,169.302,80.5955,99.351,0,0,0,0,0,0,0,0,,,,
1095.19325,1221.999667,1224.503,1094.8185,1163.7178,1202.388,1196.374,1320.215667,1108.6312,1119.100333,1019.698,936.08125,,,,
1239.0722,1230.421,1253.671,1212.7785,1087.132667,1014.854667,1001,915.404,902.109,818.9886667,810.14,757.4856667,,,,
516.7965,498.5955,503.457,530.661,578.5615,582.3075,557.2246667,577.708,598.669,600.705,688.228,813.0095,,,,
312.4206667,303.923,338.9885,347.1363333,370.4636667,480.88575,507.1066667,682.0956667,555.3663333,606.42225,562.2883333,593.2145,,,,
531.274,491.761,551.491,450.403,582.7896667,604.057,557.2725,549.651,647.424,831.3415,1025.444,1085.282667,,,,
375.984,299.8275,354.949,500.5655,442.677,404.8945,352.985,367.5715,334.2585,377.2315,325.475,394.578,,,,
350.488,338.135,260.862,238.652,234.843,174.718,85.6835,77.273,0,0,0,0,,,,
592.9515,648.278,525.936,672.5463333,646.176,615.95,637.2385,575.2755,633.834,649.7905,662.2085,680.2575,,,,
560.1635,402.9865,337.503,360.8705,362.491,281.7576,349.0435,468.3025,424.673,308.826,370.9013333,337.543,,,,
675.701,617.1985,590.8056667,465.2953333,372.3935,317.327,282.283,265.199,367.9665,332.353,331.827,282.611,,,,
0,0,0,0,0,0,0,0,0,150.801,232.213,265.921,,,,
1102.7835,953.5595,884.9156667,825.8106667,814.101,950.318,1156.334333,1229.665333,1117.304667,1137.1155,1175.494,1188.4635,,,,
437.288,479.583,504.9685,463.308,487.0955,430.1266667,451.462,546.6935,459.104,453.2563333,529.411,529.2145,,,,
