t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t,t+1,t+2,t+3,t+4,t+5,t+6
11197.0,11990.0,12641.0,13319.0,13861.000000000002,14219.0,14631.000000000002,14716.0,14550.0,14257.0,14219.999999999998,14133.000000000002,13452.000000000002,12523.0,11705.0,11136.0,10782.0,10660.0,10790.0,11243.0,11847.0,12408.0,12836.0,13401.999999999998,13810.589265823364,14336.502130508423,14814.14128112793,15162.92493057251,15424.062156677246,15537.53709602356
13269.999999999998,13725.0,14662.0,15840.0,16936.0,17936.0,18287.0,18023.0,17857.0,17713.0,17209.0,16694.0,16341.0,15811.0,14627.0,13408.0,12371.0,11674.0,11241.0,10935.0,10979.0,11426.0,12215.0,13405.0,13630.846306800842,14189.910148620605,14671.822717666626,15025.559257507324,15332.596336364746,15533.18176651001
10884.0,11578.0,11596.0,11665.0,11653.0,11659.0,11559.0,11554.0,11494.0,11504.0,11644.0,11912.0,11964.0,11791.0,11447.0,10929.0,10166.0,9519.0,9062.0,8704.0,8492.0,8485.0,8655.0,9298.0,10517.872196674347,10993.353380203247,11288.948260307312,11483.372026443481,11641.967493057251,11765.812376022339
7591.000000000001,7467.0,7443.000000000001,7512.999999999999,7512.0,7748.0,8266.0,8853.0,9378.0,9877.0,10186.0,10509.0,10906.0,11197.0,11404.0,11392.0,11061.0,10971.0,10932.0,10540.0,9925.0,9306.0,8786.0,8370.0,10053.096597194672,10225.213829040527,10264.626323699951,10236.206686973572,10307.475183486938,10591.02328300476
16962.0,17277.0,17429.0,17484.0,17395.0,17043.0,16192.999999999998,15082.0,14322.0,13733.0,12663.0,11617.0,10857.0,10322.0,9983.0,9771.0,9904.0,10372.0,11133.0,12129.0,12950.0,13642.0,14222.000000000002,14643.000000000002,15022.142395019531,15414.713371276855,15682.255264282227,15753.577198028564,15722.230995178223,15580.20809173584
10519.0,10931.0,11239.0,11515.0,11605.0,11713.0,11813.0,11750.0,11628.0,11500.0,11291.0,10963.0,11031.0,11165.0,10741.0,9964.0,9248.0,8705.0,8386.0,8178.000000000001,8134.999999999999,8323.0,8883.0,9651.0,10420.875622749329,10838.432991027832,11150.317646026611,11380.11178970337,11553.650178909302,11677.003985404968
10644.0,9993.0,9588.0,9325.0,9207.0,9190.0,9483.0,10234.0,11268.0,11741.0,11974.0,12008.0,12071.0,11980.0,11919.0,11936.0,11896.0,11976.0,12439.0,12634.0,12389.0,12133.0,11808.0,11360.0,10786.049290657043,10364.90655708313,10025.197095870972,9882.13899230957,9817.198712348938,9856.106868743896
13721.0,13185.000000000002,12359.0,11291.0,10413.0,9721.0,9284.0,9018.0,8885.0,9043.0,9729.0,10827.0,11505.0,12304.0,13167.0,14141.0,15128.0,16112.0,17084.0,17800.0,18347.0,18585.0,18356.0,17711.0,16835.686626434326,16567.137617111206,15915.929653167725,14986.18420791626,14159.754386901855,13509.896785736084
15090.0,14375.0,13895.000000000002,12760.0,11519.0,10625.0,9953.0,9503.0,9224.0,9108.0,9016.0,9328.0,9999.0,10749.0,11433.0,11973.0,12357.0,12567.0,12730.0,12908.0,13149.000000000002,13256.0,13179.0,12901.0,12300.281438827515,11938.8979139328,11610.251130104065,11394.56363582611,11221.282681465149,11083.259379386902
17649.0,17604.0,17259.0,16790.0,16448.0,15973.0,14761.000000000002,13511.0,12507.0,11708.0,11056.0,10726.0,10777.0,11168.0,12099.0,13403.0,14618.0,15612.999999999998,16660.0,17533.0,18175.0,18650.0,18840.0,18836.0,18547.68451309204,18370.470266342163,18144.66480255127,17826.348176956177,17401.158645629883,16791.35478591919
